type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_page_416907625028840	416907625028840_1458334870886105	https://www.facebook.com/416907625028840/posts/1458334870886105	Novidade em Contagem! :) Foi inaugurada  hoje (31/1)  mais uma Unidade de Atendimento Integrado do Governo do Estado de Minas Gerais. A nova UAI funciona no piso L3 do Shopping Contagem com a missão de deixar os serviços mais próximos da população  de forma ágil e eficiente. Confira os serviços oferecidos na nova unidade. https://goo.gl/ouBvJM  #Gestão #UAI #Contagem  Foto: Carlos Alberto / Imprensa MG	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16425852_1458334870886105_845390107423239714_n.png?oh=06343a43b838a323824b3c46c9e5f5e1&oe=59443691	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16425852_1458334870886105_845390107423239714_n.png?oh=f1d381f3d9fe8bcbb7167ee7804a9547&oe=5909596E	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1458334870886105/?type=3	facebook.com	2017-01-31T22:00:01+0000	1485900001	2017-01-31 23:00:01	24	10	27	5	42	5	5	0	3	0	24	2	0	0	1	0	0
photo	post_page_416907625028840	416907625028840_1458277520891840	https://www.facebook.com/416907625028840/posts/1458277520891840	O Governo do Estado de Minas Gerais atua para garantir inclusão produtiva e redução da vulnerabilidade social entre os jovens mineiros. Confira: https://goo.gl/43Omdm  Com ações de capacitação e orientação profissional  o Projeto Trampos leva em conta a vocação dos jovens e o potencial econômico da região onde vivem. Ao todo  1.200 pessoas de cinco municípios serão atendidas pela ação que integra o Programa Juventudes.   #Juventudes #ProjetoTrampos	https://scontent.xx.fbcdn.net/v/t1.0-0/p100x100/16426208_1458277520891840_182031124557874112_n.png?oh=f91ad92ef6480025019fbbc338250a1c&oe=5917445D	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16426208_1458277520891840_182031124557874112_n.png?oh=9249c2d098cfbf6f5af701a496df8a1b&oe=591768DE	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1458277520891840/?type=3	facebook.com	2017-01-31T19:05:02+0000	1485889502	2017-01-31 20:05:02	16	7	18	4	29	2	2	0	0	0	16	2	0	0	0	0	0
photo	post_page_416907625028840	416907625028840_1458132740906318	https://www.facebook.com/416907625028840/posts/1458132740906318	Minas Gerais já produziu 7 5 milhões de mudas de espécies nativas da Mata Atlântica e do Cerrado. A ação  que integra o projeto Plantando o Futuro e que já atingiu 25% da meta prevista para dezembro de 2018  prioriza áreas degradadas  nascentes  matas ciliares e a arborização urbana em vários Territórios de Desenvolvimento do estado.  https://goo.gl/yF6ae2  #PlantandoOFuturo #Codemig  Foto: Divulgação / Codemig	https://scontent.xx.fbcdn.net/v/t1.0-0/p100x100/16473547_1458132740906318_8747004475406418899_n.jpg?oh=3cc2d11c69b272ffb20f5085d1b9f1d2&oe=5915484F	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16473547_1458132740906318_8747004475406418899_n.jpg?oh=268bc0769bdd7d5d9e7f1833de3acfd7&oe=594192E5	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1458132740906318/?type=3	facebook.com	2017-01-31T15:24:57+0000	1485876297	2017-01-31 16:24:57	36	9	38	5	52	3	3	0	2	0	36	1	0	0	0	1	0
photo	post_page_416907625028840	416907625028840_1457107437675515	https://www.facebook.com/416907625028840/posts/1457107437675515	Aplicativo desenvolvido por pesquisadores da Universidade Federal de Minas Gerais  com apoio da FAPEMIG e da Secretaria de Estado de Saúde MG  pretende ajudar futuras mamães. Conheça o “Meu Pré-Natal”  uma ferramenta com enfoque educacional que busca responder as principais dúvidas das gestantes desde o início da gravidez até o pós-parto. https://goo.gl/4F1taq  #MeuPréNatal #Aplicativo #Gestantes	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16298865_1457107437675515_3912899249151793689_n.png?oh=35ca3c59052b7d085eea9ecb740d93ee&oe=59434BD1	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16298865_1457107437675515_3912899249151793689_n.png?oh=c3617d3a16b0ef8e0f92cf073b0160c1&oe=590132C4	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1457107437675515/?type=3	facebook.com	2017-01-31T11:25:01+0000	1485861901	2017-01-31 12:25:01	16	16	17	4	37	11	9	2	15	0	16	1	0	0	0	0	0
photo	post_page_416907625028840	416907625028840_1457276184325307	https://www.facebook.com/416907625028840/posts/1457276184325307	Em dois anos  o Governo de Minas Gerais já nomeou quase 40 mil trabalhadores da Educação. No último sábado  mais uma lista foi publicada no Diário Oficial do Estado. Com 2.500 nomeações de servidores  a listagem contempla exclusivamente Professores de Educação Básica. Confira: https://goo.gl/Z4op5i  #Educação #Nomeações #Professores	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16113958_1457276184325307_4555643449409235601_n.png?oh=cec9add260315c1e5a9a9a1eab47a1a5&oe=594436AA	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16113958_1457276184325307_4555643449409235601_n.png?oh=fecac3bfda938ea2474cd048a581207e&oe=590B7DBF	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1457276184325307/?type=3	facebook.com	2017-01-30T22:15:01+0000	1485814501	2017-01-30 23:15:01	96	59	100	27	186	19	19	0	32	0	96	2	0	0	1	1	0
photo	post_page_416907625028840	416907625028840_1457284330991159	https://www.facebook.com/416907625028840/posts/1457284330991159	Um novo comandante assume o trabalho à frente da Polícia Militar de Minas Gerais. 👮 https://goo.gl/PEQIH0  O coronel Helbert Figueiró de Lourdes assumiu hoje (30/1) o Comando Geral da corporação mineira em substituição ao coronel Marco Antônio Badaró Bianchini. Na solenidade de troca de comando  o governador Fernando Pimentel ressaltou  mesmo com as dificuldades financeiras e orçamentárias  o apoio do Governo do Estado e o carinho da população à PMMG.   #PolíciaMilitar #NovoComando   Foto: Manoel Marques / Imprensa MG	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16426103_1457284330991159_9139464871109472723_n.png?oh=58b86ee47c3c2fdf8c8ba997bb1e4983&oe=590807A1	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16426103_1457284330991159_9139464871109472723_n.png?oh=5cbb862b1d26ee15a98df4431b717878&oe=5945BDB4	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1457284330991159/?type=3	facebook.com	2017-01-30T19:05:01+0000	1485803101	2017-01-30 20:05:01	85	57	91	16	164	52	51	1	157	0	85	2	0	0	0	4	0
photo	post_page_416907625028840	416907625028840_1457242114328714	https://www.facebook.com/416907625028840/posts/1457242114328714	Estão abertas as inscrições para o Processo Seletivo Simplificado da MSG. O edital prevê o preenchimento de 26 vagas e a formação de cadastro de reserva para diversas localidades do estado. As vagas são para os níveis fundamental e médio. Saiba como garantir sua inscrição: https://goo.gl/PspOr7  #Oportunidades #MGS #ProcessoSeletivo	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16298867_1457242114328714_647340847168613933_n.png?oh=81d3ef56327cac07acc1a72fe5450949&oe=590A30DD	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16298867_1457242114328714_647340847168613933_n.png?oh=a1e0e779ab145b5292b7b42f5b367eb0&oe=59422D22	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1457242114328714/?type=3	facebook.com	2017-01-30T16:50:54+0000	1485795054	2017-01-30 17:50:54	325	192	327	635	1154	156	133	23	66	0	325	1	0	0	0	1	0
photo	post_page_416907625028840	416907625028840_1457085741011018	https://www.facebook.com/416907625028840/posts/1457085741011018	Minas Gerais assegura o reconhecimento do nome social em todos os segmentos da administração estadual para transexuais  travestis e transgêneros. https://goo.gl/6wRrna  O respeito à forma como a pessoa se identifica socialmente integra o compromisso do Governo do Estado com as políticas de promoção e proteção de direitos humanos e cidadania. O decreto estadual foi assinado pelo governador Fernando Pimentel e publicado  no último sábado (28/1)  no Diário Oficial do Estado.   #Diversidade #Respeito #NomeSocial  Foto: Divulgação / Sedpac	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16427526_1457085741011018_6612491688677687765_n.png?oh=f7e2b953dabb4e65c8a2afe0ea661f24&oe=5915DE31	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16427526_1457085741011018_6612491688677687765_n.png?oh=e0e0104033b5ff070b1339d2d2363a17&oe=59417924	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1457085741011018/?type=3	facebook.com	2017-01-30T13:05:00+0000	1485781500	2017-01-30 14:05:00	39	19	40	5	64	7	7	0	1	0	39	0	0	0	1	0	0
photo	post_page_416907625028840	416907625028840_1453105154742410	https://www.facebook.com/416907625028840/posts/1453105154742410	Com atuação conjunta de órgãos e secretarias  o Governo de Minas Gerais garante melhores condições de vida para 12 mil famílias de agricultores familiares. Ao todo  476 municípios são beneficiados pelo programa Brasil Sem Miséria  lançado em 2011 pelo Governo Federal e executado por meio de cooperação técnica com o Estado. https://goo.gl/ROgDpb  #Governo #Agricultores #BrasilSemMiséria  Foto: Divulgação / Emater	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16266269_1453105154742410_123105944085993707_n.png?oh=eac140aa6dd0244eb6ab1e30bbb38e2e&oe=59466E6E	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16266269_1453105154742410_123105944085993707_n.png?oh=62869f92934a3911113ef1f1e95635a2&oe=5901F391	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1453105154742410/?type=3	facebook.com	2017-01-29T12:30:01+0000	1485693001	2017-01-29 13:30:01	40	23	42	6	71	9	9	0	6	0	40	1	0	0	0	1	0
photo	post_page_416907625028840	416907625028840_1452023384850587	https://www.facebook.com/416907625028840/posts/1452023384850587	O Programa de Desenvolvimento do Audiovisual Mineiro tem garantido investimentos inéditos no setor. 🎬🎬 Com isso  mais produtores são mobilizados e beneficiados pelos editais abertos. A saber  o edital para Desenvolvimento de Projetos  em comparação com o ano anterior  subiu de 137 para mais de 200 propostas apresentadas. Saiba mais sobre outros editais: https://goo.gl/EQ4Bii  #Prodam #Cultura #Audiovisual	https://scontent.xx.fbcdn.net/v/t1.0-0/p100x100/16195751_1452023384850587_2495429097825973568_n.png?oh=7a5b06bc5b1b1d5df2d71e3c28b79fe0&oe=5917E429	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16195751_1452023384850587_2495429097825973568_n.png?oh=c9e02a02d80bad19f56a8f6a31f66bb7&oe=59486083	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1452023384850587/?type=3	facebook.com	2017-01-28T12:30:00+0000	1485606600	2017-01-28 13:30:00	19	21	19	6	46	7	7	0	12	0	19	0	0	0	0	0	0
