day	posts	likes	reactions	comments	shares
2016-07-08	2	49	50	39	12
2016-07-09	2	43	46	47	15
2016-07-10	1	27	27	24	11
2016-07-11	1	45	45	27	15
2016-07-12	2	58	60	68	13
2016-07-13	2	71	74	61	33
2016-07-14	3	628	891	298	877
2016-07-15	3	57	59	78	17
2016-07-16	2	33	33	49	8
2016-07-17	2	361	376	122	84
2016-07-18	2	51	54	61	11
2016-07-19	4	156	161	108	185
2016-07-20	4	170	174	100	172
2016-07-21	3	162	176	109	146
2016-07-22	3	79	81	75	32
2016-07-23	2	20	20	51	7
2016-07-24	1	16	16	19	4
2016-07-25	2	87	90	44	150
2016-07-26	2	62	65	44	38
2016-07-27	3	75	76	54	16
2016-07-28	4	75	77	89	23
2016-07-29	3	105	107	70	24
2016-07-30	2	28	29	48	121
2016-07-31	1	23	24	31	9
2016-08-01	2	54	56	48	17
2016-08-02	2	69	71	46	69
2016-08-03	3	93	96	62	37
2016-08-04	2	134	157	79	149
2016-08-05	4	115	116	80	14
2016-08-06	1	12	12	20	2
2016-08-07	1	14	17	21	14
2016-08-08	2	40	41	38	11
2016-08-09	2	30	32	55	10
2016-08-10	3	501	566	155	590
2016-08-11	2	31	32	50	4
2016-08-12	3	98	99	73	24
2016-08-13	3	180	183	99	82
2016-08-14	1	101	115	59	26
2016-08-15	1	23	23	31	8
2016-08-16	1	26	26	28	9
2016-08-17	2	102	119	133	24
2016-08-18	5	145	158	163	42
2016-08-19	4	131	143	77	51
2016-08-20	2	34	38	62	6
2016-08-21	0	0	0	0	0
2016-08-22	3	122	128	128	37
2016-08-23	3	101	102	81	19
2016-08-24	2	70	79	59	10
2016-08-25	4	214	227	132	108
2016-08-26	4	199	208	94	126
2016-08-27	2	44	45	39	16
2016-08-28	1	35	37	38	7
2016-08-29	3	66	68	63	25
2016-08-30	3	122	129	125	84
2016-08-31	2	37	37	52	18
2016-09-01	3	51	54	59	23
2016-09-02	3	90	100	63	22
2016-09-03	2	65	65	30	17
2016-09-04	2	73	73	45	21
2016-09-05	3	73	77	48	25
2016-09-06	3	174	180	72	107
2016-09-07	3	115	119	47	20
2016-09-08	3	112	120	66	60
2016-09-09	2	33	38	22	19
2016-09-10	2	44	45	30	16
2016-09-11	1	20	20	12	9
2016-09-12	3	123	128	64	25
2016-09-13	3	89	93	36	67
2016-09-14	3	85	87	77	37
2016-09-15	3	60	69	57	30
2016-09-16	2	45	47	37	14
2016-09-17	2	115	127	26	308
2016-09-18	0	0	0	0	0
2016-09-19	3	57	61	37	31
2016-09-20	4	111	116	66	57
2016-09-21	3	173	195	94	185
2016-09-22	4	90	98	52	25
2016-09-23	3	72	72	40	90
2016-09-24	2	44	44	21	13
2016-09-25	1	23	23	16	11
2016-09-26	2	180	183	142	31
2016-09-27	3	58	60	79	30
2016-09-28	5	147	149	189	31
2016-09-29	3	60	60	53	17
2016-09-30	3	53	54	54	11
2016-10-01	1	21	21	12	8
2016-10-02	1	14	15	16	1
2016-10-03	3	76	80	60	17
2016-10-04	3	96	97	64	50
2016-10-05	2	59	61	54	17
2016-10-06	3	106	114	59	61
2016-10-07	3	71	72	53	13
2016-10-08	1	25	25	17	11
2016-10-09	0	0	0	0	0
2016-10-10	2	118	125	127	42
2016-10-11	3	50	51	46	11
2016-10-12	2	38	39	33	5
2016-10-13	3	167	169	91	200
2016-10-14	3	70	73	67	30
2016-10-15	2	88	92	68	19
2016-10-16	0	0	0	0	0
2016-10-17	3	278	307	99	189
2016-10-18	3	56	58	63	18
2016-10-19	3	66	68	81	14
2016-10-20	3	53	55	59	9
2016-10-21	3	70	74	70	14
2016-10-22	1	16	16	20	0
2016-10-23	1	26	28	18	1
2016-10-24	3	86	88	53	34
2016-10-25	2	29	29	44	7
2016-10-26	4	181	189	90	134
2016-10-27	3	93	99	60	20
2016-10-28	5	241	246	138	125
2016-10-29	0	0	0	0	0
2016-10-30	0	0	0	0	0
2016-10-31	3	79	80	55	61
2016-11-01	4	229	241	147	141
2016-11-02	1	69	72	25	20
2016-11-03	1	49	53	21	11
2016-11-04	1	17	17	21	2
2016-11-05	1	17	17	16	9
2016-11-06	1	42	43	21	5
2016-11-07	3	103	108	67	25
2016-11-08	3	111	113	48	17
2016-11-09	3	57	61	58	6
2016-11-10	3	101	102	52	14
2016-11-11	3	51	55	43	14
2016-11-12	1	18	19	9	2
2016-11-13	1	32	33	15	4
2016-11-14	1	25	25	17	11
2016-11-15	1	36	42	12	52
2016-11-16	3	42	44	47	3
2016-11-17	3	97	103	97	38
2016-11-18	3	339	350	153	711
2016-11-19	1	39	43	11	7
2016-11-20	1	29	29	14	3
2016-11-21	4	310	318	249	56
2016-11-22	3	63	67	57	12
2016-11-23	3	267	303	287	110
2016-11-24	4	181	202	121	63
2016-11-25	3	354	354	450	1931
2016-11-26	1	26	26	18	4
2016-11-27	0	0	0	0	0
2016-11-28	3	80	81	61	25
2016-11-29	4	136	151	49	18
2016-11-30	3	120	123	164	241
2016-12-01	3	91	95	90	58
2016-12-02	3	146	156	76	24
2016-12-03	3	171	182	99	21
2016-12-04	1	23	23	22	4
2016-12-05	3	124	133	104	36
2016-12-06	3	179	205	235	81
2016-12-07	3	87	126	181	91
2016-12-08	2	113	121	109	42
2016-12-09	1	24	26	37	9
2016-12-10	0	0	0	0	0
2016-12-11	0	0	0	0	0
2016-12-12	3	63	63	71	33
2016-12-13	4	135	139	102	17
2016-12-14	4	58	58	71	27
2016-12-15	4	149	150	96	81
2016-12-16	4	128	133	78	55
2016-12-17	2	144	150	49	76
2016-12-18	2	75	80	32	12
2016-12-19	3	84	89	52	10
2016-12-20	3	95	99	49	29
2016-12-21	4	166	174	113	54
2016-12-22	4	180	194	191	63
2016-12-23	4	126	136	65	37
2016-12-24	0	0	0	0	0
2016-12-25	1	99	105	15	54
2016-12-26	3	286	335	115	253
2016-12-27	1	92	95	25	6
2016-12-28	2	110	111	40	17
2016-12-29	2	53	55	22	24
2016-12-30	2	54	57	31	12
2016-12-31	0	0	0	0	0
2017-01-01	0	0	0	0	0
2017-01-02	3	307	315	157	385
2017-01-03	5	201	216	137	178
2017-01-04	3	79	85	58	62
2017-01-05	4	146	150	66	76
2017-01-06	3	75	76	50	24
2017-01-07	2	105	108	41	38
2017-01-08	1	57	59	27	69
2017-01-09	3	65	67	59	29
2017-01-10	4	444	483	210	376
2017-01-11	3	215	217	178	201
2017-01-12	4	126	130	67	93
2017-01-13	3	201	202	100	162
2017-01-14	1	39	42	17	9
2017-01-15	1	41	43	17	9
2017-01-16	4	325	332	146	308
2017-01-17	2	92	96	82	22
2017-01-18	2	84	88	54	35
2017-01-19	2	63	68	46	34
2017-01-20	2	68	71	54	21
2017-01-21	1	270	294	57	70
2017-01-22	0	0	0	0	0
2017-01-23	3	142	167	148	41
2017-01-24	4	123	127	76	23
2017-01-25	4	250	261	119	157
2017-01-26	4	252	310	399	44
2017-01-27	4	125	130	119	37
2017-01-28	1	19	19	21	6
2017-01-29	1	40	42	23	6
2017-01-30	4	545	558	327	683
2017-01-31	4	92	100	42	18
2017-02-01	0	0	0	0	0
